Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y
24310,68365,,support.eu@aspiegel.com,huawei music problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
24075,67730,,support.pt@aspiegel.com,appgallery probleme und vorschläge,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault
24075,67762,,support.pt@aspiegel.com,appgallery probleme und vorschläge appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault
23748,66706,,support.pt@aspiegel.com,appgallery problems and suggestions,m,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion
23740,66684,,support.eu@aspiegel.com,,,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
23683,66429,,support.eu@aspiegel.com,aspiegel support issue submit,e,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
23683,67433,,support.eu@aspiegel.com,aspiegel support issue submit,e,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
23683,67516,,support.eu@aspiegel.com,aspiegel support issue submit,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
23683,67915,,support.eu@aspiegel.com,aspiegel support issue submit,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
23624,66266,,support.pt@aspiegel.com,gamecentre problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps,,,Problem/Fault
23555,65977,,support.pt@aspiegel.com,appgallery problemas e sugestões,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,General,Cannot connect - Server,,,Problem/Fault
23534,65883,,support.pt@aspiegel.com,appgallery probleme und vorschläge,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,,Can't install Apps,,Problem/Fault
23477,65661,,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23452,65616,,support.pt@aspiegel.com,appgallery problemas e sugestões,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
23429,65569,,support.pt@aspiegel.com,appgallery problemas e sugestões,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
23395,65482,,support.pt@aspiegel.com,appgallery problemi e soluzioni,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23230,65024,,support.pt@aspiegel.com,appgallery проблеми и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23229,65022,,support.pt@aspiegel.com,appgallery проблеми и предложения,i,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23212,64982,,support.pt@aspiegel.com,appgallery проблеми и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23194,64946,,support.pt@aspiegel.com,appgallery problemer og forslag,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault
23193,64944,,support.pt@aspiegel.com,appgallery problemer og forslag,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault
23189,64938,,support.pt@aspiegel.com,appgallery проблеми и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion
23188,64936,,support.pt@aspiegel.com,appgallery проблеми и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion
23056,64550,44805.93403,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Report a scam or fraud ,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion
23055,64549,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault
23054,64548,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,m,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault
23052,64544,44805.88819,support.pt@aspiegel.com,appgallery sorunlar ve öneriler,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,General,AppGallery not loading,,,Problem/Fault
23050,64542,44805.87361,support.eu@aspiegel.com,od: full refund from first day,,AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
23049,64540,44805.85139,support.pt@aspiegel.com,appgallery problémy a odporúčania,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault
23047,64532,44805.83333,support.eu@aspiegel.com,unreceived huawei points,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
23046,64531,44805.83194,support.eu@aspiegel.com,aspiegel support issue submit,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
23044,64525,44805.82222,support.pt@aspiegel.com,appgallery problemas y sugerencias,m,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,,,Problem/Fault
